employee_id,review_date,review_type,reviewer_id,technical_score,communication_score,leadership_score,initiative_score,teamwork_score,quality_score,comments
1017,2024-07-20,quarterly,2004,4.4,3.5,4.1,3.9,4.1,4.8,Class high second under car.
1017,2024-01-06,quarterly,2003,4.1,3.7,3.0,3.9,4.4,3.9,Son week beat economic myself.
1017,2024-05-11,quarterly,2006,4.3,3.7,3.3,3.9,4.0,4.0,House past gun process site special part.
1017,2024-02-18,quarterly,2005,4.1,4.5,3.7,3.7,5.0,4.5,Nothing fly enough condition leg.
1018,2024-06-19,quarterly,2007,3.8,3.7,3.6,3.2,4.9,3.8,Letter whole lose.
1018,2024-11-23,quarterly,2010,4.6,3.9,4.0,3.3,4.4,4.0,Design around voice everybody particular finish ask.
1018,2024-03-10,quarterly,2008,3.6,4.4,3.9,4.3,3.9,4.3,She everybody than camera piece.
1018,2024-02-27,quarterly,2005,3.5,4.7,4.3,3.3,4.9,4.1,Pretty discussion pressure contain medical key fish network.
1019,2024-03-29,quarterly,2006,4.2,4.1,4.1,4.4,4.2,4.4,Weight yeah window administration.
1019,2024-11-24,quarterly,2004,3.6,3.7,3.0,3.0,3.6,3.5,Music and doctor board medical both.
1019,2024-01-31,quarterly,2005,4.9,4.0,3.6,3.9,3.7,3.6,Daughter now stop race author.
1019,2024-06-14,quarterly,2004,4.5,5.0,4.1,3.6,3.9,4.5,Central force small friend impact.
1020,2024-09-10,quarterly,2005,4.7,4.8,3.5,3.4,4.9,4.8,Likely wind perform civil and us.
1020,2024-12-20,quarterly,2004,3.7,4.5,4.4,4.2,4.8,4.9,Agent participant space member sit meet ok general.
1020,2024-03-24,quarterly,2003,3.5,3.6,3.4,4.3,4.4,4.3,Store allow risk high young bad.
1020,2024-01-31,quarterly,2005,3.5,4.3,3.1,4.0,3.8,4.1,Not young piece safe much.
1021,2024-02-17,quarterly,2007,3.5,4.2,4.2,3.6,5.0,4.4,Sometimes parent process minute first crime offer.
1021,2024-12-19,quarterly,2001,4.5,4.9,4.3,4.1,4.6,3.8,Forget sometimes within discuss fire.
1021,2024-02-14,quarterly,2005,3.5,3.9,4.3,3.4,4.2,3.5,Knowledge whatever improve bag night.
1021,2024-01-30,quarterly,2001,4.8,4.8,3.7,4.4,4.2,3.8,President painting large industry notice step.
1022,2024-02-18,quarterly,2001,3.9,3.6,3.6,4.2,4.3,4.1,Each training purpose program painting somebody game.
1022,2024-02-15,quarterly,2006,4.6,4.3,3.5,4.0,4.1,4.4,Impact measure chance management.
1022,2024-12-08,quarterly,2006,4.2,4.0,3.4,4.2,4.6,4.2,Tonight then administration building enjoy.
1022,2024-08-03,quarterly,2009,4.1,4.9,3.1,3.4,3.7,4.9,Sea call alone issue real wrong car.
1023,2024-12-02,quarterly,2008,4.2,4.3,4.0,4.3,4.0,4.9,Truth toward great I news Republican budget.
1023,2024-12-14,quarterly,2003,4.4,4.3,4.2,3.2,4.7,3.7,Option pattern yes and school great.
1023,2024-06-23,quarterly,2004,4.7,4.1,4.2,4.3,5.0,4.3,Piece scientist job serious record safe.
1023,2024-10-08,quarterly,2009,3.7,3.5,4.4,4.0,3.7,3.8,Trouble view base time order have power here.
1024,2024-06-19,quarterly,2006,4.2,4.0,4.3,3.6,4.9,4.3,Meet open war best.
1024,2024-04-25,quarterly,2007,3.8,4.0,3.6,4.1,3.7,4.5,Game nor today oil such interview follow.
1024,2024-05-03,quarterly,2008,3.7,4.5,4.1,4.1,4.8,5.0,Well among war think.
1024,2024-10-10,quarterly,2002,4.2,4.9,4.0,3.5,4.6,4.0,Issue everything they fire girl.
1025,2024-03-05,quarterly,2004,4.3,3.6,4.2,3.0,3.5,3.7,Explain main difference college.
1025,2024-12-22,quarterly,2003,4.7,4.5,3.1,3.7,3.7,4.9,Writer send under project cell.
1025,2024-03-21,quarterly,2007,3.5,4.4,3.5,3.6,4.0,4.4,Stuff senior agree total whether music sometimes.
1025,2024-01-03,quarterly,2008,4.5,4.4,4.0,4.5,4.2,4.0,Strategy ago data walk number rule minute.
1026,2024-11-18,quarterly,2005,4.6,4.8,3.6,3.8,3.6,4.5,Far body relationship suddenly know it enjoy.
1026,2024-12-01,quarterly,2010,4.8,4.9,4.0,4.5,4.1,4.9,Year rule bring government.
1026,2024-01-31,quarterly,2002,4.2,4.3,3.1,4.1,4.6,4.9,Road force medical everybody piece.
1026,2024-07-18,quarterly,2008,4.1,4.0,3.9,3.7,4.0,4.3,Religious fire under item.
1027,2024-12-28,quarterly,2008,3.8,4.1,3.0,3.2,4.8,4.7,Fish success produce there along play account.
1027,2024-02-23,quarterly,2009,4.2,4.3,3.7,4.0,4.1,4.9,Heavy wall pull enter charge sport safe executive.
1027,2024-03-18,quarterly,2001,3.9,3.7,3.8,3.3,4.2,4.8,Week tax see about.
1027,2024-01-27,quarterly,2001,3.9,4.0,3.2,3.2,4.8,3.8,Newspaper decade concern industry enjoy herself on.
1028,2024-09-04,quarterly,2008,3.9,4.1,4.1,4.0,3.8,4.1,Machine prevent conference feel discussion factor.
1028,2024-07-07,quarterly,2005,3.8,4.0,4.0,4.3,3.8,4.2,Someone hot ground loss benefit both thing.
1028,2024-10-20,quarterly,2002,3.7,3.7,4.1,4.4,4.3,4.2,Information language easy interesting computer.
1028,2024-05-03,quarterly,2006,4.7,4.1,4.1,4.3,4.1,4.3,Girl huge campaign think.
1029,2024-11-22,quarterly,2007,4.2,3.9,3.8,3.6,3.6,3.9,Over reach ahead environmental Democrat surface important.
1029,2024-08-06,quarterly,2006,4.2,4.3,3.4,4.4,3.7,3.5,Energy fish hot kind human treatment.
1029,2024-04-14,quarterly,2002,4.4,4.5,3.7,4.5,4.1,3.9,Rock fund stand final important occur coach.
1029,2024-03-21,quarterly,2002,5.0,4.5,3.9,3.2,3.6,3.8,Book why particularly can music wear again here.
1030,2024-10-30,quarterly,2005,3.7,4.6,3.0,3.1,4.7,3.7,Treatment short need pressure million gun.
1030,2024-03-18,quarterly,2005,4.4,3.5,4.3,3.2,4.9,4.8,Study how responsibility face.
1030,2024-03-03,quarterly,2004,3.8,4.2,3.7,3.1,4.1,4.5,Former democratic safe vote already after.
1030,2024-07-23,quarterly,2009,4.8,3.6,4.0,4.3,3.7,4.6,May social amount executive.
1031,2024-01-10,quarterly,2008,4.3,5.0,3.8,3.4,4.6,4.8,Place read almost seek spend.
1031,2024-05-26,quarterly,2006,4.9,4.7,3.6,4.1,3.6,4.0,Capital scientist establish be available reveal.
1031,2024-10-23,quarterly,2007,3.5,4.5,4.4,3.6,4.4,4.8,After sea must try believe open.
1031,2024-05-31,quarterly,2003,4.2,4.9,3.8,3.6,4.8,4.5,Story teacher size interesting sea.
1032,2024-04-27,quarterly,2004,4.4,3.9,4.2,3.6,3.5,3.6,Learn between wide office heavy.
1032,2024-06-15,quarterly,2002,4.6,4.7,4.2,3.1,3.9,3.9,Develop image everything expect.
1032,2024-09-29,quarterly,2006,4.0,4.3,3.5,3.5,4.9,4.3,Media him year road week several research.
1032,2024-06-24,quarterly,2007,4.6,4.8,3.9,3.8,4.5,4.4,Official agent side language live.
1033,2024-02-12,quarterly,2010,3.7,4.0,4.0,4.5,4.3,4.4,Forward special wish believe college.
1033,2024-12-01,quarterly,2002,3.9,3.9,3.4,3.4,4.3,4.0,Order base idea study model style set.
1033,2024-01-23,quarterly,2006,4.9,4.3,3.5,3.5,4.7,4.3,Edge find full character focus north image.
1033,2024-01-03,quarterly,2007,3.9,4.4,4.0,3.3,4.4,4.7,Real sense some nation fine.
1034,2024-09-10,quarterly,2005,3.8,4.5,4.1,3.8,3.8,4.2,Focus remember method teach yeah.
1034,2024-02-01,quarterly,2009,3.8,4.6,4.3,4.0,3.8,4.7,International back camera add.
1034,2024-07-20,quarterly,2006,3.8,4.5,3.7,3.4,4.2,3.9,Coach join will although.
1034,2024-06-13,quarterly,2010,4.2,4.0,3.4,3.1,3.7,4.1,Color sort maintain see natural human father.
1035,2024-06-18,quarterly,2009,5.0,3.5,3.3,4.4,4.9,4.2,Result they even follow threat.
1035,2024-08-06,quarterly,2009,4.4,3.9,3.9,3.3,3.6,4.1,Center model daughter pass.
1035,2024-10-04,quarterly,2008,4.4,4.2,3.6,3.2,3.8,4.0,Mind economy leg view until result.
1035,2024-11-27,quarterly,2001,3.6,3.6,3.2,3.8,3.7,3.6,Clearly resource listen fish.
1036,2024-03-10,quarterly,2007,3.8,4.8,3.8,3.0,4.0,4.4,Like year accept reduce.
1036,2024-03-18,quarterly,2005,3.9,3.9,3.3,3.9,4.6,4.9,Mrs former article light.
1036,2024-03-01,quarterly,2006,4.8,3.7,3.8,3.5,3.8,4.7,Go next difficult pick.
1036,2024-12-26,quarterly,2007,3.8,4.4,4.4,3.1,4.6,5.0,Ever star test once figure.
1037,2024-08-30,quarterly,2005,4.7,3.7,3.4,3.6,3.9,4.4,Various night political dark or bill.
1037,2024-03-25,quarterly,2003,4.9,3.9,3.0,4.0,4.2,4.8,Condition nor camera mission population.
1037,2024-05-28,quarterly,2007,4.2,3.8,4.3,3.6,4.2,3.7,Offer table painting whom say pattern.
1037,2024-12-19,quarterly,2007,4.8,4.6,3.0,4.1,3.8,4.5,Decide able discussion describe upon past century.
1038,2024-07-03,quarterly,2007,4.7,4.3,3.5,3.7,4.4,4.8,Follow time appear.
1038,2024-07-17,quarterly,2010,3.8,3.7,3.1,4.3,4.5,3.8,International line few service drive hotel.
1038,2024-10-27,quarterly,2007,3.8,4.0,3.6,3.4,3.9,3.8,Relationship great stuff first back painting.
1038,2024-03-24,quarterly,2010,4.8,4.9,4.0,3.8,4.5,3.6,Watch street represent style.
1039,2024-08-05,quarterly,2001,4.1,4.0,3.6,3.7,4.6,4.9,Majority smile rate newspaper itself give.
1039,2024-01-10,quarterly,2002,4.2,4.0,3.4,4.4,3.9,3.7,Talk side generation interest pay then.
1039,2024-12-23,quarterly,2004,4.8,4.5,3.9,4.2,4.8,5.0,Him condition section action kind.
1039,2024-07-23,quarterly,2006,3.6,3.8,4.1,3.2,4.4,4.3,Accept financial behind hard effect.
1040,2024-12-23,quarterly,2005,3.6,4.9,3.7,3.4,4.8,3.9,Parent almost ever.
1040,2024-07-04,quarterly,2003,3.8,4.0,3.8,3.3,3.6,3.6,Analysis receive education personal wife statement.
1040,2024-12-01,quarterly,2003,3.9,4.2,3.6,3.3,3.5,4.9,Young place make list themselves seek space.
1040,2024-01-15,quarterly,2010,4.6,3.6,3.2,4.2,3.8,3.7,Ahead thus check save that capital.
1041,2024-06-11,quarterly,2008,4.3,4.1,3.3,3.8,3.8,4.7,Argue PM artist best.
1041,2024-07-30,quarterly,2006,4.8,4.6,3.8,3.0,4.3,3.6,Work create pass admit student.
1041,2024-11-25,quarterly,2003,3.8,4.2,4.3,3.4,4.4,4.1,Today college worry reveal hand add.
1041,2024-09-15,quarterly,2005,4.2,4.2,4.1,4.1,3.7,4.4,Indicate property article cover seven challenge.
1042,2024-04-13,quarterly,2001,3.6,4.1,3.0,3.7,4.7,4.5,Common and part read.
1042,2024-06-07,quarterly,2007,4.3,4.6,4.3,3.7,4.5,4.3,Play success wait find.
1042,2024-08-05,quarterly,2010,4.4,4.8,3.6,3.4,4.9,3.8,Brother letter structure beat us because.
1042,2024-12-22,quarterly,2008,3.7,3.6,3.1,4.5,4.8,3.7,Consumer beat fish phone.
1043,2024-01-08,quarterly,2007,4.1,3.9,3.0,3.7,4.6,3.8,Small design hear ball.
1043,2024-10-08,quarterly,2003,4.2,4.4,4.1,3.2,4.7,4.1,Film race wall ten section.
1043,2024-10-13,quarterly,2003,3.5,3.8,3.7,3.7,4.2,4.2,Financial here expert everything.
1043,2024-08-07,quarterly,2004,4.2,4.1,3.1,4.4,4.8,4.9,Including structure evening current without else.
1044,2024-06-19,quarterly,2005,4.1,4.0,4.4,4.3,4.8,3.6,Begin great hair sign mission.
1044,2024-11-18,quarterly,2005,4.0,4.3,3.7,4.4,4.8,4.2,Reach color wear one choose notice year its.
1044,2024-09-07,quarterly,2006,4.0,4.0,3.8,3.0,3.7,4.6,Debate record mean stop some.
1044,2024-02-05,quarterly,2009,3.9,3.5,3.3,3.8,3.5,4.1,Significant election life all boy probably cost.
1045,2024-02-24,quarterly,2010,4.2,4.4,3.4,3.1,4.3,3.7,Only head help open almost red picture.
1045,2024-12-03,quarterly,2008,4.6,4.2,3.8,4.0,4.3,4.6,City little from.
1045,2024-12-16,quarterly,2009,3.6,5.0,4.4,3.6,4.5,4.2,Cost group clear national.
1045,2024-10-19,quarterly,2005,3.7,4.6,3.3,3.9,3.9,3.8,Keep pattern order.
1046,2024-09-26,quarterly,2001,4.0,4.9,3.3,3.9,4.1,4.7,Room list during rich over lot.
1046,2024-06-04,quarterly,2003,4.1,4.4,4.5,3.3,5.0,3.7,Always upon doctor various until.
1046,2024-02-11,quarterly,2001,3.9,4.2,3.1,3.7,5.0,4.9,International especially officer or clearly coach.
1046,2024-04-26,quarterly,2008,3.7,4.5,4.2,3.5,4.6,4.1,Whole wall cup win sell candidate four whether.
1047,2024-02-05,quarterly,2008,4.9,3.9,3.8,4.3,4.7,4.0,Society center get how leave.
1047,2024-09-12,quarterly,2006,4.3,4.5,4.3,3.9,4.5,4.7,Customer common film continue.
1047,2024-11-29,quarterly,2004,3.8,3.5,3.7,3.5,4.3,4.2,Job right child new simply.
1047,2024-01-02,quarterly,2007,3.6,4.4,4.2,3.4,4.7,4.3,City beyond near hour defense line heavy.
1048,2024-06-28,quarterly,2004,4.8,3.9,4.4,4.4,4.5,4.3,Several benefit campaign several card.
1048,2024-10-27,quarterly,2007,4.6,4.1,3.5,3.1,3.7,4.2,Today star room interesting hour author.
1048,2024-07-08,quarterly,2002,4.7,4.9,3.1,3.6,4.1,4.1,Agree those concern dog gun may ability out.
1048,2024-06-03,quarterly,2001,4.0,4.1,3.5,3.7,5.0,4.9,Population catch could deep.
1049,2024-06-18,quarterly,2007,4.4,4.1,4.3,3.4,4.4,3.7,Fund pressure international expect.
1049,2024-05-30,quarterly,2003,4.4,4.4,4.3,3.2,3.6,4.6,Alone when instead clear radio strong let.
1049,2024-02-02,quarterly,2003,4.3,4.2,3.1,4.5,4.7,4.5,Rather big television sound activity five.
1049,2024-08-11,quarterly,2001,3.5,3.8,3.2,4.5,4.1,4.5,Himself lawyer main whether I side field.
1050,2024-04-10,quarterly,2006,4.5,3.6,3.2,3.5,3.6,5.0,Page sort late health.
1050,2024-07-02,quarterly,2002,5.0,4.4,4.2,3.3,3.8,4.1,Such will born condition interest service.
1050,2024-12-03,quarterly,2008,3.7,4.4,3.9,3.8,4.7,3.9,Character front various opportunity.
1050,2024-03-17,quarterly,2002,4.2,4.8,3.2,4.2,4.3,4.2,Spend road lawyer any example business majority.
1051,2024-05-22,quarterly,2004,4.5,3.5,4.3,4.0,4.5,4.7,Threat rather education.
1051,2024-05-11,quarterly,2006,4.9,4.0,4.0,4.2,4.1,4.9,Short age environment fall indicate.
1051,2024-06-22,quarterly,2005,4.5,3.8,3.7,4.1,3.6,3.6,Fear along born rule most how.
1051,2024-03-09,quarterly,2002,3.7,5.0,3.2,4.1,3.9,4.0,Movement call certain management.
1052,2024-12-12,quarterly,2006,4.4,4.6,3.7,3.2,4.5,4.9,Generation leader pay try tough.
1052,2024-12-28,quarterly,2009,4.6,4.0,4.1,4.3,4.5,4.0,Notice American force although participant rich speech.
1052,2024-02-09,quarterly,2007,3.8,3.6,3.0,4.3,3.9,3.8,Mention rise front PM few husband.
1052,2024-03-12,quarterly,2008,4.2,4.9,4.2,4.3,4.2,4.7,Return sea bad treatment whole.
1053,2024-11-04,quarterly,2007,4.5,4.9,4.1,4.3,3.8,4.8,Number yet past much soldier.
1053,2024-09-26,quarterly,2003,4.9,4.1,3.7,4.5,3.7,4.8,Hear list set.
1053,2024-06-18,quarterly,2004,4.3,4.2,3.4,3.3,3.8,3.6,Section sing everybody provide painting.
1053,2024-12-19,quarterly,2001,4.4,4.6,4.2,3.6,3.5,4.2,Question evening imagine affect.
1054,2024-06-09,quarterly,2009,3.8,3.7,4.0,4.3,4.6,3.9,Ever leg so play.
1054,2024-02-07,quarterly,2007,4.8,5.0,3.9,3.9,4.2,4.9,Different remember determine particularly rock.
1054,2024-08-24,quarterly,2001,4.2,4.6,3.8,3.8,4.6,3.6,Onto play forget home upon actually future.
1054,2024-05-14,quarterly,2006,3.5,4.4,4.4,3.1,4.7,4.1,Charge take material mother color hope.
1055,2024-06-05,quarterly,2008,4.9,4.4,3.3,3.5,4.4,4.2,Produce number bad.
1055,2024-07-07,quarterly,2005,4.8,4.8,4.2,4.0,4.4,4.1,World bar security morning fight seem later.
1055,2024-06-30,quarterly,2001,4.3,3.6,4.4,3.7,4.1,4.1,Choose once person.
1055,2024-08-07,quarterly,2002,4.7,3.9,4.2,3.8,4.1,4.3,Indeed share seem exist season writer.
1056,2024-05-25,quarterly,2005,4.7,4.5,3.7,3.9,4.3,4.3,Capital parent sure best design yeah number.
1056,2024-03-10,quarterly,2002,4.8,4.9,3.6,4.1,3.8,4.5,Short worker without nearly.
1056,2024-05-16,quarterly,2001,4.5,3.6,4.0,4.4,3.5,3.7,Industry out floor guy black.
1056,2024-12-09,quarterly,2005,3.8,3.9,3.4,3.2,4.1,4.6,Maybe mouth different identify series experience.
1057,2024-12-25,quarterly,2006,3.6,4.9,3.5,3.8,4.3,3.6,Church them hundred about stop several prevent.
1057,2024-09-22,quarterly,2003,4.8,4.8,3.0,3.4,4.7,4.7,Himself president wind improve.
1057,2024-09-04,quarterly,2005,4.9,3.7,3.7,3.2,4.6,4.7,Peace catch people.
1057,2024-02-01,quarterly,2008,4.3,4.2,3.9,4.2,4.0,3.6,Number impact age particular coach personal range weight.
1058,2024-01-09,quarterly,2003,4.1,3.8,4.4,4.1,4.9,4.4,Third pressure need tell sure claim hard themselves.
1058,2024-03-09,quarterly,2002,5.0,3.7,3.5,3.8,4.5,3.8,View TV follow fall thus debate leave.
1058,2024-04-05,quarterly,2006,3.5,4.8,4.2,3.6,4.7,4.7,Kitchen drop computer left political sound study the.
1058,2024-12-18,quarterly,2007,3.8,3.8,4.0,4.2,4.6,3.6,Each reveal attorney security.
1059,2024-09-21,quarterly,2004,4.8,4.9,4.2,3.8,4.2,4.0,Term yet television audience indicate employee.
1059,2024-10-05,quarterly,2006,3.8,3.6,3.7,3.0,4.0,5.0,Building since positive move agency lose rise.
1059,2024-04-23,quarterly,2006,4.5,4.1,4.3,4.5,4.8,3.6,Stock rise always human until picture.
1059,2024-06-19,quarterly,2002,4.4,4.3,3.2,3.2,4.2,5.0,Skin billion suggest serious often social.
1060,2024-10-07,quarterly,2006,3.7,4.7,4.2,4.0,3.9,4.3,Hand prevent center during.
1060,2024-07-06,quarterly,2007,3.9,4.8,3.1,3.5,4.9,3.7,Enough form really leader remember.
1060,2024-10-19,quarterly,2005,4.7,5.0,3.4,4.3,5.0,5.0,Serious garden ready former late.
1060,2024-04-10,quarterly,2006,3.6,4.0,3.4,3.0,5.0,4.0,Every along cause miss ago they nor.
1061,2024-10-04,quarterly,2002,4.8,4.9,3.9,4.3,4.0,3.6,Fill respond nothing fight require.
1061,2024-09-18,quarterly,2005,4.7,4.0,3.2,3.9,4.4,3.6,Child source campaign parent teacher.
1061,2024-04-09,quarterly,2001,3.9,4.8,3.8,3.8,4.8,4.7,Agreement deep field once else.
1061,2024-10-07,quarterly,2009,4.9,4.8,3.8,4.4,4.5,3.7,Seat you image peace color general choose.
1062,2024-11-27,quarterly,2007,4.6,3.6,4.4,3.6,4.5,3.9,Fire hear tend magazine college moment compare.
1062,2024-12-14,quarterly,2001,3.7,3.6,4.4,3.0,4.8,3.6,Add water garden finally difference everything.
1062,2024-10-29,quarterly,2006,4.1,3.7,3.2,4.4,4.8,3.9,Practice ground least tree.
1062,2024-12-17,quarterly,2006,3.8,4.5,3.9,4.3,4.4,3.5,Style suffer situation.
1063,2024-07-22,quarterly,2004,4.6,3.7,4.1,4.2,4.5,3.9,Scientist hair allow phone weight.
1063,2024-07-16,quarterly,2007,3.5,4.3,3.4,4.2,4.7,3.8,Even which suggest Mrs.
1063,2024-01-31,quarterly,2009,3.9,4.1,3.9,3.6,4.7,3.9,Land mission each something.
1063,2024-03-11,quarterly,2003,4.1,4.4,4.4,3.4,3.9,4.8,Direction response concern without entire.
1064,2024-04-17,quarterly,2002,4.6,3.9,3.9,3.0,3.7,4.4,Sea safe true town.
1064,2024-02-21,quarterly,2005,4.5,4.4,4.2,3.9,5.0,3.9,Few debate during seven local better think.
1064,2024-01-20,quarterly,2001,3.8,3.9,3.1,3.1,4.1,4.9,So authority long kind live between.
1064,2024-08-16,quarterly,2005,4.9,4.4,4.0,4.1,4.7,3.5,Our feel act involve toward.
